"lemma","poscode","surface"
"cancelar","2","cancelar"
"cancelacion","3","cancelacion"
"cancelarla","2","cancelarla"
"solicito cancelacion","2","solicito cancelacion"
"suprimir","2","suprimir"
"revocar","2","revocar"
"anular","2","anular"
"suspender","2","suspender"
"extinguir","2","extinguir"
"quitar","2","quitar"
"eliminar","2","eliminar"
"cancelación","2","cancelación"
"canceles","2","canceles"
"cancélala","2","cancélala"
"cancelarla","2","cancelarla"
"cancela","2","cancela"
"cancelamiento","2","cancelamiento"
"cancerizar","2","cancerizar"
"cancelamos","2","cancelamos"
